"","ticket_carrier","first_stop"
"1","99","DEN"
"2","99","ORD"
"3","AA","CLT"
"4","AA","DCA"
"5","AA","DFW"
"6","AA","ORD"
"7","AA","PHL"
"8","AA","PHX"
"9","AS","ORD"
"10","DL","ATL"
"11","DL","DTW"
"12","DL","LGA"
"13","DL","MSP"
"14","DL","SLC"
"15","F9","DEN"
"16","UA","DEN"
"17","UA","IAH"
"18","UA","ORD"
"19","WN","LAS"
"20","WN","PHX"
"21","WN","STL"
